,mouse,day,session,avg_time,std,sem,group
0,ms01,1,A,42.35119330883026,9.23261034488678,4.61630517244339,fixed
1,ms01,2,A,23.738631665706635,16.568122936049832,4.142030734012458,fixed
2,ms01,3,A,23.143544026783534,6.592520494965329,0.9417886421379041,fixed
3,ms01,4,A,34.81605660915375,3.770078356578227,0.9425195891445568,fixed
4,ms01,5,A,39.783218026161194,14.330255389213562,7.165127694606781,fixed
5,ms01,6,A,32.699634313583374,14.560933712939848,1.820116714117481,fixed
6,ms01,7,A,52.696945667266846,0.0,0.0,fixed
7,ms01,8,A,31.53364480866326,20.612225855785592,2.29024731730951,fixed
8,ms01,9,B,28.80965095758438,10.239785778979147,2.559946444744787,fixed
9,ms01,10,B,27.54011278152466,7.896938052934497,1.5793876105868994,fixed
10,ms01,11,B,29.346635871463352,4.74893000063799,0.5276588889597766,fixed
11,ms01,12,B,30.537298411130905,8.082091253389365,1.0102614066736706,fixed
12,ms01,13,B,47.593967497348785,15.269580131517365,3.8173950328793413,fixed
13,ms01,14,B,15.420892238616943,0.0,0.0,fixed
14,ms01,15,B,78.60762572288513,0.0,0.0,fixed
15,ms01,16,B,44.248865604400635,7.632655424288493,2.544218474762831,fixed
16,ms01,17,C,26.597762891224452,13.73173504374173,1.9616764348202473,fixed
17,ms01,18,C,27.475966970125835,15.133157634884649,1.2610964695737208,fixed
18,ms01,19,C,40.1398635175493,17.074935093786237,1.897215010420693,fixed
19,ms01,20,C,47.431881761550905,7.475054434051942,1.4950108868103884,fixed
20,ms01,21,C,32.64862895011902,8.808035016797849,2.9360116722659497,fixed
21,ms01,22,C,28.240844437054225,8.504311543840004,0.6074508245600002,fixed
22,ms01,23,C,36.89367643269625,20.611347498531185,1.873758863502835,fixed
23,ms01,24,C,28.016113924980164,11.652230407442314,1.1652230407442314,fixed
24,ms01,25,D,21.30715782411637,6.810696355689202,0.21969988244158714,fixed
25,ms01,26,D,28.922956425210703,10.319934773058828,0.448692816219949,fixed
26,ms01,27,D,30.380402124845066,10.809553177593699,0.8315040905841307,fixed
27,ms01,28,D,31.370664654356062,14.207132003477428,0.4305191516205281,fixed
28,ms01,29,D,27.692124464295127,11.903312282074127,0.5410596491851876,fixed
29,ms01,30,D,22.23532722791036,9.916143930174476,0.6610762620116317,fixed
30,ms01,31,D,21.942296567170516,6.280616498228915,0.27307028253169197,fixed
31,ms01,32,D,25.962471736801994,6.17080784307505,0.3428226579486139,fixed
32,ms01,33,AP,23.086884173479948,8.954275853426669,0.8140250775842426,fixed
33,ms02,1,A,38.524875020980836,9.421321605513914,1.8842643211027827,fixed
34,ms02,2,A,,,,fixed
35,ms02,3,A,28.16846712430318,10.298635181208677,1.716439196868113,fixed
36,ms02,4,A,30.582965930302937,13.814127296867975,4.604709098955992,fixed
37,ms02,5,A,18.295515647301308,3.3333111421340864,0.25640854939492974,fixed
38,ms02,6,A,29.833043677466257,13.827064076666295,1.975294868095185,fixed
39,ms02,7,A,22.683535199416312,7.145637422763727,0.3760861801454593,fixed
40,ms02,8,A,18.14410456858183,4.8958218680997705,0.2576748351631458,fixed
41,ms02,9,B,18.555555555555557,6.718318425702655,0.37323991253903643,fixed
42,ms02,10,B,18.22641976063068,8.68507860745291,0.334041484902035,fixed
43,ms02,11,B,17.507679293553036,4.761696642021748,0.19840402675090618,fixed
44,ms02,12,B,16.79988145828247,8.31135321549483,0.2681081682417687,fixed
45,ms02,13,B,17.642886912822725,4.547241581676418,0.2273620790838209,fixed
46,ms02,14,B,16.984540343284607,6.759682359508519,0.2112400737346412,fixed
47,ms02,15,B,14.226430922746658,4.360522193345741,0.2725326370841088,fixed
48,ms02,16,B,16.77150747355293,5.994013650309114,0.17629451912673866,fixed
49,ms02,17,C,20.004039573669434,7.101508573960564,0.23671695246535215,fixed
50,ms02,18,C,20.356299852502758,10.21252199611421,0.35215593090049,fixed
51,ms02,19,C,17.87667727470398,9.93814516380697,0.4320932679916074,fixed
52,ms02,20,C,13.902692611400898,4.877799349173873,0.12507177818394546,fixed
53,ms02,21,C,24.243598063786823,31.94937269717778,1.064979089905926,fixed
54,ms02,22,C,13.263497034708658,2.0848159672642246,0.09927695082210593,fixed
55,ms02,23,C,15.101017756121498,5.184807595295583,0.1851716998319851,fixed
56,ms02,24,C,21.249008496602375,10.888065415635298,0.7258710277090199,fixed
57,ms02,25,D,15.361853375154382,4.853339525234272,0.2854905603078984,fixed
58,ms02,26,D,19.54834305246671,8.266502868911468,0.34443761953797786,fixed
59,ms02,27,D,20.968028485774994,8.356865031740021,0.6964054193116684,fixed
60,ms02,28,D,20.688345193862915,10.288010717720898,0.46763685080549533,fixed
61,ms02,29,D,18.155435532331467,5.5064095350042885,0.2294337306251787,fixed
62,ms02,30,D,17.03081568427708,7.644819079899987,0.33238343825652117,fixed
63,ms02,31,D,19.467233202674173,5.294050020639846,0.24063863730181118,fixed
64,ms02,32,D,16.04824301470881,5.924501649622782,0.2575870282444688,fixed
65,ms02,33,AP,17.3763883965356,9.865666900982305,0.23489683097576916,fixed
66,ms03,1,A,26.64464694261551,3.587604355951819,0.8969010889879547,fixed
67,ms03,2,A,24.719609689712524,9.725997677868914,0.9725997677868914,fixed
68,ms03,3,A,34.34147306283315,11.344979276542858,1.8908298794238096,fixed
69,ms03,4,A,18.37022626399994,7.552859470196759,0.9441074337745948,fixed
70,ms03,5,A,24.51516079902649,6.491962909698486,3.245981454849243,fixed
71,ms03,6,A,25.84948891859788,6.657963020654108,0.5121510015887776,fixed
72,ms03,7,A,23.114534854888916,8.649618857646145,0.360400785735256,fixed
73,ms03,8,B,25.0,9.100743343912336,0.5353378437595492,fixed
74,ms03,9,B,23.789385986328124,7.086293276290345,0.35431466381451726,fixed
